Locus	Gene	Product	Group1_replicate 1	Group1_replicate 2	Group1_replicate 3	Group2_replicate 1	Group2_replicate 2	Group2_replicate 3	Group3_replicate 1	Group3_replicate 2	Group3_replicate 3	Input_ replicate 1	Input_replicate 2
FQ312003_intergenic_3633273_3633334	FQ312003_intergenic_3633273_3633334	FQ312003_intergenic_3633273_3633334	0	0	0	0	0	0	1	2	0	30	34
FQ312003_intergenic_3633970_3634066	FQ312003_intergenic_3633970_3634066	FQ312003_intergenic_3633970_3634066	2	0	0	0	0	3	1	0	3	697	545
FQ312003_intergenic_3636871_3637077	FQ312003_intergenic_3636871_3637077	FQ312003_intergenic_3636871_3637077	1	2	2	3	1	2	0	2	9	2122	2252
FQ312003_intergenic_3643328_3643503	FQ312003_intergenic_3643328_3643503	FQ312003_intergenic_3643328_3643503	5	2	0	1	1	0	0	0	1	28	23
FQ312003_intergenic_3644786_3644947	FQ312003_intergenic_3644786_3644947	FQ312003_intergenic_3644786_3644947	1	0	0	0	1	0	2	0	1	50	54
FQ312003_intergenic_3647915_3648079	FQ312003_intergenic_3647915_3648079	FQ312003_intergenic_3647915_3648079	0	0	0	0	3	0	0	0	1	15	6
FQ312003_intergenic_3650375_3650602	FQ312003_intergenic_3650375_3650602	FQ312003_intergenic_3650375_3650602	2	0	0	0	0	0	0	0	2	37	24
FQ312003_intergenic_365561_365742	FQ312003_intergenic_365561_365742	FQ312003_intergenic_365561_365742	2	2	0	0	0	0	2	0	0	128	60
FQ312003_intergenic_3656598_3656628	FQ312003_intergenic_3656598_3656628	FQ312003_intergenic_3656598_3656628	0	0	0	0	0	0	0	0	0	5	3
FQ312003_intergenic_3657188_3657400	FQ312003_intergenic_3657188_3657400	FQ312003_intergenic_3657188_3657400	2	0	0	0	2	0	0	1	0	40	22
FQ312003_intergenic_3657672_3657715	FQ312003_intergenic_3657672_3657715	FQ312003_intergenic_3657672_3657715	0	0	0	0	0	0	2	0	3	23	24
FQ312003_intergenic_3661096_3661175	FQ312003_intergenic_3661096_3661175	FQ312003_intergenic_3661096_3661175	0	0	1	0	1	0	0	1	0	41	37
FQ312003_intergenic_3664318_3664681	FQ312003_intergenic_3664318_3664681	FQ312003_intergenic_3664318_3664681	7	4	0	3	3	7	0	1	6	773	630
FQ312003_intergenic_3671434_3671655	FQ312003_intergenic_3671434_3671655	FQ312003_intergenic_3671434_3671655	2	0	0	0	4	0	0	6	1	1575	735
FQ312003_intergenic_3677756_3678034	FQ312003_intergenic_3677756_3678034	FQ312003_intergenic_3677756_3678034	1	0	0	0	0	2	2	6	7	1075	799
FQ312003_intergenic_3681065_3681077	FQ312003_intergenic_3681065_3681077	FQ312003_intergenic_3681065_3681077	1	0	0	1	0	0	0	2	1	13	28
FQ312003_intergenic_3681898_3682022	FQ312003_intergenic_3681898_3682022	FQ312003_intergenic_3681898_3682022	3	0	0	3	0	3	0	2	5	1696	1203
FQ312003_intergenic_368209_368624	FQ312003_intergenic_368209_368624	FQ312003_intergenic_368209_368624	1	2	2	4	0	2	4	12	23	3160	1890
FQ312003_intergenic_3685026_3685361	FQ312003_intergenic_3685026_3685361	FQ312003_intergenic_3685026_3685361	7	1	0	0	3	5	3	1	9	490	450
FQ312003_intergenic_3688276_3688409	FQ312003_intergenic_3688276_3688409	FQ312003_intergenic_3688276_3688409	3	0	0	0	0	1	0	2	3	20	12
FQ312003_intergenic_3691586_3691909	FQ312003_intergenic_3691586_3691909	FQ312003_intergenic_3691586_3691909	13	1	0	0	0	0	4	1	6	88	48
FQ312003_intergenic_3693279_3693296	FQ312003_intergenic_3693279_3693296	FQ312003_intergenic_3693279_3693296	2	0	0	0	0	0	0	0	0	12	16
FQ312003_intergenic_3697879_3698371	FQ312003_intergenic_3697879_3698371	FQ312003_intergenic_3697879_3698371	2	0	2	0	0	0	1	2	3	718	361
FQ312003_intergenic_3704153_3704396	FQ312003_intergenic_3704153_3704396	FQ312003_intergenic_3704153_3704396	3	6	0	0	1	0	0	2	2	54	51
FQ312003_intergenic_370591_370785	FQ312003_intergenic_370591_370785	FQ312003_intergenic_370591_370785	2	0	0	1	0	0	0	0	0	217	128
FQ312003_intergenic_3706051_3706139	FQ312003_intergenic_3706051_3706139	FQ312003_intergenic_3706051_3706139	2	0	0	0	0	0	0	0	0	12	8
FQ312003_intergenic_3709904_3710001	FQ312003_intergenic_3709904_3710001	FQ312003_intergenic_3709904_3710001	3	1	0	0	1	0	1	0	4	226	155
FQ312003_intergenic_3714975_3715211	FQ312003_intergenic_3714975_3715211	FQ312003_intergenic_3714975_3715211	2	4	0	0	0	0	2	1	2	12	8
FQ312003_intergenic_3720107_3720183	FQ312003_intergenic_3720107_3720183	FQ312003_intergenic_3720107_3720183	1	0	0	0	0	0	2	2	0	322	178
FQ312003_intergenic_372170_372200	FQ312003_intergenic_372170_372200	FQ312003_intergenic_372170_372200	0	0	0	0	1	0	0	0	0	7	7
FQ312003_intergenic_3729654_3729899	FQ312003_intergenic_3729654_3729899	FQ312003_intergenic_3729654_3729899	3	0	0	2	0	3	0	0	4	216	228
FQ312003_intergenic_3731107_3731429	FQ312003_intergenic_3731107_3731429	FQ312003_intergenic_3731107_3731429	2	3	0	1	0	0	0	0	3	586	503
FQ312003_intergenic_3733401_3733438	FQ312003_intergenic_3733401_3733438	FQ312003_intergenic_3733401_3733438	2	0	0	0	1	0	2	1	2	14	11
FQ312003_intergenic_3734535_3734563	FQ312003_intergenic_3734535_3734563	FQ312003_intergenic_3734535_3734563	1	0	0	0	0	0	1	0	0	24	29
FQ312003_intergenic_373516_373623	FQ312003_intergenic_373516_373623	FQ312003_intergenic_373516_373623	4	2	0	1	0	0	4	0	0	53	41
FQ312003_intergenic_3735360_3735382	FQ312003_intergenic_3735360_3735382	FQ312003_intergenic_3735360_3735382	1	2	0	0	0	0	2	0	0	5	8
FQ312003_intergenic_3736521_3736888	FQ312003_intergenic_3736521_3736888	FQ312003_intergenic_3736521_3736888	9	0	0	0	0	0	0	0	3	60	52
FQ312003_intergenic_3737478_3737908	FQ312003_intergenic_3737478_3737908	FQ312003_intergenic_3737478_3737908	9	7	0	0	1	4	2	0	2	177	78
FQ312003_intergenic_3743577_3743601	FQ312003_intergenic_3743577_3743601	FQ312003_intergenic_3743577_3743601	1	0	0	0	0	0	0	0	0	20	24
FQ312003_intergenic_3749050_3749207	FQ312003_intergenic_3749050_3749207	FQ312003_intergenic_3749050_3749207	6	1	0	0	0	2	2	0	0	222	199
FQ312003_intergenic_3749901_3749925	FQ312003_intergenic_3749901_3749925	FQ312003_intergenic_3749901_3749925	2	0	0	0	0	0	0	0	0	4	0
FQ312003_intergenic_3754875_3755195	FQ312003_intergenic_3754875_3755195	FQ312003_intergenic_3754875_3755195	5	0	0	1	0	0	2	1	1	321	113
FQ312003_intergenic_3755680_3755773	FQ312003_intergenic_3755680_3755773	FQ312003_intergenic_3755680_3755773	2	1	0	0	1	0	1	1	2	18	36
FQ312003_intergenic_3756978_3757198	FQ312003_intergenic_3756978_3757198	FQ312003_intergenic_3756978_3757198	7	2	0	0	0	1	1	0	4	33	57
FQ312003_intergenic_3758154_3758298	FQ312003_intergenic_3758154_3758298	FQ312003_intergenic_3758154_3758298	5	6	0	4	2	2	1	8	25	2193	2665
FQ312003_intergenic_3761594_3761618	FQ312003_intergenic_3761594_3761618	FQ312003_intergenic_3761594_3761618	1	0	0	0	0	0	0	0	0	23	18
FQ312003_intergenic_3762839_3763008	FQ312003_intergenic_3762839_3763008	FQ312003_intergenic_3762839_3763008	2	0	0	0	0	0	4	0	3	95	74
FQ312003_intergenic_3766015_3766113	FQ312003_intergenic_3766015_3766113	FQ312003_intergenic_3766015_3766113	0	0	0	0	0	0	0	0	0	33	42
FQ312003_intergenic_3768127_3768195	FQ312003_intergenic_3768127_3768195	FQ312003_intergenic_3768127_3768195	1	0	0	0	0	0	1	0	0	27	58
FQ312003_intergenic_3770813_3770843	FQ312003_intergenic_3770813_3770843	FQ312003_intergenic_3770813_3770843	0	0	0	0	1	0	0	0	0	65	55
FQ312003_intergenic_377374_377963	FQ312003_intergenic_377374_377963	FQ312003_intergenic_377374_377963	5	3	0	0	0	0	2	0	5	213	113
FQ312003_intergenic_3778136_3778340	FQ312003_intergenic_3778136_3778340	FQ312003_intergenic_3778136_3778340	6	0	0	0	0	2	0	2	8	665	944
FQ312003_intergenic_3779638_3779890	FQ312003_intergenic_3779638_3779890	FQ312003_intergenic_3779638_3779890	1	2	0	2	0	2	0	0	1	342	307
FQ312003_intergenic_3781365_3781403	FQ312003_intergenic_3781365_3781403	FQ312003_intergenic_3781365_3781403	1	2	2	2	0	0	1	4	5	231	256
FQ312003_intergenic_3781840_3782126	FQ312003_intergenic_3781840_3782126	FQ312003_intergenic_3781840_3782126	4	7	0	11	3	4	1	4	20	13494	10023
FQ312003_intergenic_3782662_3782885	FQ312003_intergenic_3782662_3782885	FQ312003_intergenic_3782662_3782885	3	1	0	0	3	4	0	2	3	912	900
FQ312003_intergenic_3787358_3787438	FQ312003_intergenic_3787358_3787438	FQ312003_intergenic_3787358_3787438	0	0	2	2	1	2	0	10	11	14	24
FQ312003_intergenic_3788811_3788920	FQ312003_intergenic_3788811_3788920	FQ312003_intergenic_3788811_3788920	1	2	0	1	1	1	0	0	1	26	43
FQ312003_intergenic_3795729_3795803	FQ312003_intergenic_3795729_3795803	FQ312003_intergenic_3795729_3795803	1	0	0	0	0	0	1	0	0	5	6
FQ312003_intergenic_3796624_3796848	FQ312003_intergenic_3796624_3796848	FQ312003_intergenic_3796624_3796848	0	1	0	0	0	1	0	1	7	725	480
FQ312003_intergenic_3800201_3800380	FQ312003_intergenic_3800201_3800380	FQ312003_intergenic_3800201_3800380	3	2	0	0	0	0	1	0	1	48	24
FQ312003_intergenic_3801446_3801975	FQ312003_intergenic_3801446_3801975	FQ312003_intergenic_3801446_3801975	4	2	0	0	1	0	4	2	3	250	198
FQ312003_intergenic_3804077_3804326	FQ312003_intergenic_3804077_3804326	FQ312003_intergenic_3804077_3804326	5	0	0	2	0	0	2	0	0	88	60
FQ312003_intergenic_3808727_3808854	FQ312003_intergenic_3808727_3808854	FQ312003_intergenic_3808727_3808854	0	0	0	0	0	0	0	0	2	76	78
FQ312003_intergenic_3811426_3811544	FQ312003_intergenic_3811426_3811544	FQ312003_intergenic_3811426_3811544	2	0	0	0	0	1	1	0	1	352	260
FQ312003_intergenic_3812932_3812988	FQ312003_intergenic_3812932_3812988	FQ312003_intergenic_3812932_3812988	1	0	0	0	0	0	0	0	2	174	110
FQ312003_intergenic_3815009_3815168	FQ312003_intergenic_3815009_3815168	FQ312003_intergenic_3815009_3815168	3	0	1	0	0	1	0	1	1	149	117
FQ312003_intergenic_3825795_3825938	FQ312003_intergenic_3825795_3825938	FQ312003_intergenic_3825795_3825938	2	1	0	6	0	1	0	0	1	2396	1576
FQ312003_intergenic_3829475_3829837	FQ312003_intergenic_3829475_3829837	FQ312003_intergenic_3829475_3829837	3	2	0	2	2	0	1	8	4	273	426
FQ312003_intergenic_3830189_3830205	FQ312003_intergenic_3830189_3830205	FQ312003_intergenic_3830189_3830205	2	0	0	0	0	0	0	0	0	83	46
FQ312003_intergenic_3835641_3835696	FQ312003_intergenic_3835641_3835696	FQ312003_intergenic_3835641_3835696	0	0	0	0	0	0	0	0	0	40	57
FQ312003_intergenic_3837354_3837859	FQ312003_intergenic_3837354_3837859	FQ312003_intergenic_3837354_3837859	11	6	0	0	0	0	3	2	8	1955	992
FQ312003_intergenic_3840468_3840516	FQ312003_intergenic_3840468_3840516	FQ312003_intergenic_3840468_3840516	1	1	0	0	0	0	0	0	1	3	0
FQ312003_intergenic_3841625_3841850	FQ312003_intergenic_3841625_3841850	FQ312003_intergenic_3841625_3841850	3	2	0	1	0	0	5	0	0	25	22
FQ312003_intergenic_3843643_3843759	FQ312003_intergenic_3843643_3843759	FQ312003_intergenic_3843643_3843759	4	0	0	0	0	0	1	0	2	70	39
FQ312003_intergenic_384474_385006	FQ312003_intergenic_384474_385006	FQ312003_intergenic_384474_385006	2	1	2	2	0	0	0	0	1	139	21
FQ312003_intergenic_3849351_3849755	FQ312003_intergenic_3849351_3849755	FQ312003_intergenic_3849351_3849755	3	2	0	0	0	0	3	4	4	295	255
FQ312003_intergenic_3850561_3850616	FQ312003_intergenic_3850561_3850616	FQ312003_intergenic_3850561_3850616	0	0	0	0	3	0	0	0	1	551	649
FQ312003_intergenic_3854019_3854103	FQ312003_intergenic_3854019_3854103	FQ312003_intergenic_3854019_3854103	3	2	1	0	0	0	0	2	3	149	94
FQ312003_intergenic_3854834_3854951	FQ312003_intergenic_3854834_3854951	FQ312003_intergenic_3854834_3854951	4	0	0	0	0	0	3	0	1	11	16
FQ312003_intergenic_3856787_3857124	FQ312003_intergenic_3856787_3857124	FQ312003_intergenic_3856787_3857124	9	0	0	0	0	0	2	0	0	81	63
FQ312003_intergenic_3857516_3857715	FQ312003_intergenic_3857516_3857715	FQ312003_intergenic_3857516_3857715	4	5	16	34	12	47	2	21	119	14792	6014
FQ312003_intergenic_3858017_3858212	FQ312003_intergenic_3858017_3858212	FQ312003_intergenic_3858017_3858212	3	1	0	0	0	1	4	0	3	41	157
FQ312003_intergenic_3858730_3859000	FQ312003_intergenic_3858730_3859000	FQ312003_intergenic_3858730_3859000	0	2	2	0	0	2	2	0	6	681	869
FQ312003_intergenic_3859862_3859938	FQ312003_intergenic_3859862_3859938	FQ312003_intergenic_3859862_3859938	0	0	0	0	1	0	0	0	5	12	23
FQ312003_intergenic_3860507_3861034	FQ312003_intergenic_3860507_3861034	FQ312003_intergenic_3860507_3861034	2	0	0	0	0	2	2	2	2	242	229
FQ312003_intergenic_386345_386543	FQ312003_intergenic_386345_386543	FQ312003_intergenic_386345_386543	2	0	0	0	0	0	0	2	0	50	33
FQ312003_intergenic_3864126_3864163	FQ312003_intergenic_3864126_3864163	FQ312003_intergenic_3864126_3864163	4	0	0	1	0	0	1	0	0	407	656
FQ312003_intergenic_3864567_3864631	FQ312003_intergenic_3864567_3864631	FQ312003_intergenic_3864567_3864631	0	3	0	0	0	0	0	0	3	315	308
FQ312003_intergenic_3866104_3866177	FQ312003_intergenic_3866104_3866177	FQ312003_intergenic_3866104_3866177	0	0	0	0	1	0	0	0	0	11	12
FQ312003_intergenic_3869155_3869416	FQ312003_intergenic_3869155_3869416	FQ312003_intergenic_3869155_3869416	6	0	0	0	0	0	0	0	2	114	91
FQ312003_intergenic_3871581_3871795	FQ312003_intergenic_3871581_3871795	FQ312003_intergenic_3871581_3871795	6	2	0	0	0	1	0	0	4	401	231
FQ312003_intergenic_3873924_3873996	FQ312003_intergenic_3873924_3873996	FQ312003_intergenic_3873924_3873996	3	1	0	0	0	0	1	0	1	25	27
FQ312003_intergenic_3875858_3875873	FQ312003_intergenic_3875858_3875873	FQ312003_intergenic_3875858_3875873	0	0	0	0	0	0	0	0	2	30	53
FQ312003_intergenic_3876775_3876903	FQ312003_intergenic_3876775_3876903	FQ312003_intergenic_3876775_3876903	1	1	0	0	0	0	0	1	1	4	5
FQ312003_intergenic_3879435_3879472	FQ312003_intergenic_3879435_3879472	FQ312003_intergenic_3879435_3879472	1	0	0	0	0	0	0	0	0	17	11
FQ312003_intergenic_3886026_3886085	FQ312003_intergenic_3886026_3886085	FQ312003_intergenic_3886026_3886085	1	0	0	0	0	1	0	0	0	0	5
FQ312003_intergenic_3887002_3887164	FQ312003_intergenic_3887002_3887164	FQ312003_intergenic_3887002_3887164	1	2	0	0	0	0	1	0	3	94	43
FQ312003_intergenic_3889221_3889237	FQ312003_intergenic_3889221_3889237	FQ312003_intergenic_3889221_3889237	0	0	0	0	0	1	0	0	3	5	8
FQ312003_intergenic_3890877_3890944	FQ312003_intergenic_3890877_3890944	FQ312003_intergenic_3890877_3890944	2	0	0	0	0	0	0	0	0	68	45
FQ312003_intergenic_3891927_3892110	FQ312003_intergenic_3891927_3892110	FQ312003_intergenic_3891927_3892110	0	0	0	0	1	0	0	0	0	9	4
FQ312003_intergenic_389523_389823	FQ312003_intergenic_389523_389823	FQ312003_intergenic_389523_389823	4	0	0	0	2	0	2	2	0	85	209
FQ312003_intergenic_3896157_3896531	FQ312003_intergenic_3896157_3896531	FQ312003_intergenic_3896157_3896531	3	2	0	0	0	4	4	4	13	573	245
FQ312003_intergenic_3898549_3898668	FQ312003_intergenic_3898549_3898668	FQ312003_intergenic_3898549_3898668	1	0	0	1	0	0	0	0	1	10	4
FQ312003_intergenic_3900724_3900913	FQ312003_intergenic_3900724_3900913	FQ312003_intergenic_3900724_3900913	3	0	0	0	0	0	0	0	0	411	324
FQ312003_intergenic_3901377_3901765	FQ312003_intergenic_3901377_3901765	FQ312003_intergenic_3901377_3901765	8	2	0	2	1	0	2	0	2	631	298
FQ312003_intergenic_390449_390491	FQ312003_intergenic_390449_390491	FQ312003_intergenic_390449_390491	0	1	0	0	0	0	0	0	0	10	12
FQ312003_intergenic_3906979_3907176	FQ312003_intergenic_3906979_3907176	FQ312003_intergenic_3906979_3907176	1	0	0	0	0	0	1	2	2	173	103
FQ312003_intergenic_3912502_3912719	FQ312003_intergenic_3912502_3912719	FQ312003_intergenic_3912502_3912719	1	0	0	0	0	0	0	0	0	11	7
FQ312003_intergenic_3918681_3918827	FQ312003_intergenic_3918681_3918827	FQ312003_intergenic_3918681_3918827	2	3	0	0	0	0	0	0	0	158	112
FQ312003_intergenic_3923753_3923937	FQ312003_intergenic_3923753_3923937	FQ312003_intergenic_3923753_3923937	4	1	0	2	0	0	1	1	4	8	12
FQ312003_intergenic_3926478_3926579	FQ312003_intergenic_3926478_3926579	FQ312003_intergenic_3926478_3926579	1	0	0	0	0	0	0	0	0	98	85
FQ312003_intergenic_3931789_3932070	FQ312003_intergenic_3931789_3932070	FQ312003_intergenic_3931789_3932070	4	1	0	0	0	0	0	0	4	321	193
FQ312003_intergenic_3932981_3933029	FQ312003_intergenic_3932981_3933029	FQ312003_intergenic_3932981_3933029	0	1	0	1	1	1	0	0	2	18	16
FQ312003_intergenic_3933685_3933750	FQ312003_intergenic_3933685_3933750	FQ312003_intergenic_3933685_3933750	0	0	0	1	0	0	0	0	1	32	20
FQ312003_intergenic_3940258_3940667	FQ312003_intergenic_3940258_3940667	FQ312003_intergenic_3940258_3940667	15	1	0	3	0	4	2	0	19	2118	1677
FQ312003_intergenic_3943827_3943943	FQ312003_intergenic_3943827_3943943	FQ312003_intergenic_3943827_3943943	0	0	0	9	0	5	0	6	21	855	644
FQ312003_intergenic_3944710_3944781	FQ312003_intergenic_3944710_3944781	FQ312003_intergenic_3944710_3944781	0	0	0	0	0	0	0	0	1	7	7
FQ312003_intergenic_3948760_3948784	FQ312003_intergenic_3948760_3948784	FQ312003_intergenic_3948760_3948784	0	0	0	0	0	0	0	0	0	36	30
FQ312003_intergenic_3950656_3950673	FQ312003_intergenic_3950656_3950673	FQ312003_intergenic_3950656_3950673	0	0	0	0	0	0	0	0	1	12	5
FQ312003_intergenic_3951656_3951805	FQ312003_intergenic_3951656_3951805	FQ312003_intergenic_3951656_3951805	1	0	0	0	0	0	0	0	0	98	48
FQ312003_intergenic_3954206_3954361	FQ312003_intergenic_3954206_3954361	FQ312003_intergenic_3954206_3954361	4	0	0	2	0	1	2	0	1	75	37
FQ312003_intergenic_39585_40080	FQ312003_intergenic_39585_40080	FQ312003_intergenic_39585_40080	7	0	0	0	0	0	3	0	2	89	45
FQ312003_intergenic_3962389_3962515	FQ312003_intergenic_3962389_3962515	FQ312003_intergenic_3962389_3962515	4	0	0	0	2	0	0	0	2	87	59
FQ312003_intergenic_3964008_3964027	FQ312003_intergenic_3964008_3964027	FQ312003_intergenic_3964008_3964027	1	1	0	0	0	0	2	0	0	5	3
FQ312003_intergenic_3969653_3970250	FQ312003_intergenic_3969653_3970250	FQ312003_intergenic_3969653_3970250	6	7	2	2	1	2	0	3	13	5140	1892
FQ312003_intergenic_3970720_3971272	FQ312003_intergenic_3970720_3971272	FQ312003_intergenic_3970720_3971272	6	1	0	2	0	0	0	2	4	556	431
FQ312003_intergenic_3972911_3972996	FQ312003_intergenic_3972911_3972996	FQ312003_intergenic_3972911_3972996	0	0	2	0	0	0	4	0	1	76	90
FQ312003_intergenic_3974135_3975332	FQ312003_intergenic_3974135_3975332	FQ312003_intergenic_3974135_3975332	10	0	0	0	2	0	1	0	8	812	391
FQ312003_intergenic_397604_397995	FQ312003_intergenic_397604_397995	FQ312003_intergenic_397604_397995	12	3	0	0	1	0	0	0	2	3	8
FQ312003_intergenic_3980351_3981102	FQ312003_intergenic_3980351_3981102	FQ312003_intergenic_3980351_3981102	13	3	0	0	0	0	4	0	3	1159	573
FQ312003_intergenic_3981884_3982011	FQ312003_intergenic_3981884_3982011	FQ312003_intergenic_3981884_3982011	4	0	0	0	0	0	0	0	1	47	86
FQ312003_intergenic_3982592_3982805	FQ312003_intergenic_3982592_3982805	FQ312003_intergenic_3982592_3982805	3	0	1	0	0	2	0	0	1	106	45
FQ312003_intergenic_3985633_3985751	FQ312003_intergenic_3985633_3985751	FQ312003_intergenic_3985633_3985751	0	0	1	2	1	0	1	0	3	20	8
FQ312003_intergenic_3986548_3986955	FQ312003_intergenic_3986548_3986955	FQ312003_intergenic_3986548_3986955	2	8	10	12	0	36	5	19	45	639	395
FQ312003_intergenic_3988943_3989077	FQ312003_intergenic_3988943_3989077	FQ312003_intergenic_3988943_3989077	0	1	0	0	1	0	0	0	0	68	22
FQ312003_intergenic_3992628_3992672	FQ312003_intergenic_3992628_3992672	FQ312003_intergenic_3992628_3992672	1	0	0	0	0	0	3	0	1	20	10
FQ312003_intergenic_3993695_3993812	FQ312003_intergenic_3993695_3993812	FQ312003_intergenic_3993695_3993812	1	0	0	0	0	0	2	0	0	2	8
FQ312003_intergenic_3996712_3996807	FQ312003_intergenic_3996712_3996807	FQ312003_intergenic_3996712_3996807	0	1	0	0	0	0	0	2	0	33	30
FQ312003_intergenic_3999942_4000056	FQ312003_intergenic_3999942_4000056	FQ312003_intergenic_3999942_4000056	4	0	0	0	0	2	0	0	0	85	66
FQ312003_intergenic_4006546_4006797	FQ312003_intergenic_4006546_4006797	FQ312003_intergenic_4006546_4006797	1	0	0	0	4	2	4	2	2	195	219
FQ312003_intergenic_4007351_4007441	FQ312003_intergenic_4007351_4007441	FQ312003_intergenic_4007351_4007441	0	0	0	0	1	0	0	0	0	1	5
FQ312003_intergenic_4008934_4008975	FQ312003_intergenic_4008934_4008975	FQ312003_intergenic_4008934_4008975	1	1	0	0	0	0	0	0	0	1	2
FQ312003_intergenic_401133_401324	FQ312003_intergenic_401133_401324	FQ312003_intergenic_401133_401324	11	0	0	0	0	3	0	0	3	255	228
FQ312003_intergenic_4015874_4016097	FQ312003_intergenic_4015874_4016097	FQ312003_intergenic_4015874_4016097	0	1	0	0	0	0	1	0	0	69	31
FQ312003_intergenic_4019173_4019960	FQ312003_intergenic_4019173_4019960	FQ312003_intergenic_4019173_4019960	7	6	0	3	4	4	4	1	6	281	268
FQ312003_intergenic_4020850_4020951	FQ312003_intergenic_4020850_4020951	FQ312003_intergenic_4020850_4020951	4	1	0	0	0	1	0	0	0	190	62
FQ312003_intergenic_4024236_4024360	FQ312003_intergenic_4024236_4024360	FQ312003_intergenic_4024236_4024360	2	2	0	0	0	0	1	2	0	22	18
FQ312003_intergenic_402679_402766	FQ312003_intergenic_402679_402766	FQ312003_intergenic_402679_402766	0	0	0	2	0	0	2	1	2	31	47
FQ312003_intergenic_4028447_4028789	FQ312003_intergenic_4028447_4028789	FQ312003_intergenic_4028447_4028789	5	0	0	0	8	6	0	4	5	653	423
FQ312003_intergenic_4030552_4030640	FQ312003_intergenic_4030552_4030640	FQ312003_intergenic_4030552_4030640	1	0	0	0	0	0	3	0	0	20	33
FQ312003_intergenic_4031699_4031898	FQ312003_intergenic_4031699_4031898	FQ312003_intergenic_4031699_4031898	3	0	0	4	4	1	0	0	6	2109	3099
FQ312003_intergenic_4033563_4033583	FQ312003_intergenic_4033563_4033583	FQ312003_intergenic_4033563_4033583	2	1	0	0	0	0	0	0	0	7	7
FQ312003_intergenic_4041360_4041448	FQ312003_intergenic_4041360_4041448	FQ312003_intergenic_4041360_4041448	0	0	0	0	0	0	0	0	1	58	60
FQ312003_intergenic_4045901_4045929	FQ312003_intergenic_4045901_4045929	FQ312003_intergenic_4045901_4045929	0	0	0	0	0	2	0	0	0	25	28
FQ312003_intergenic_4055309_4055468	FQ312003_intergenic_4055309_4055468	FQ312003_intergenic_4055309_4055468	0	0	0	0	0	0	0	0	0	9	5
FQ312003_intergenic_4056415_4056619	FQ312003_intergenic_4056415_4056619	FQ312003_intergenic_4056415_4056619	1	0	0	0	0	0	0	0	1	90	46
FQ312003_intergenic_4059190_4059203	FQ312003_intergenic_4059190_4059203	FQ312003_intergenic_4059190_4059203	0	0	0	0	0	0	1	0	0	12	29
FQ312003_intergenic_4063736_4063782	FQ312003_intergenic_4063736_4063782	FQ312003_intergenic_4063736_4063782	0	0	0	2	2	0	6	3	0	31	79
FQ312003_intergenic_4066389_4066948	FQ312003_intergenic_4066389_4066948	FQ312003_intergenic_4066389_4066948	0	5	0	7	3	6	1	10	17	2421	1898
FQ312003_intergenic_4069436_4069464	FQ312003_intergenic_4069436_4069464	FQ312003_intergenic_4069436_4069464	5	1	0	0	0	0	1	0	0	1	1
FQ312003_intergenic_4070942_4071096	FQ312003_intergenic_4070942_4071096	FQ312003_intergenic_4070942_4071096	6	1	0	3	0	0	0	2	0	118	86
FQ312003_intergenic_4072415_4072638	FQ312003_intergenic_4072415_4072638	FQ312003_intergenic_4072415_4072638	0	0	0	0	0	0	0	0	3	120	44
FQ312003_intergenic_4074637_4075337	FQ312003_intergenic_4074637_4075337	FQ312003_intergenic_4074637_4075337	6	4	0	0	2	4	4	3	4	243	239
FQ312003_intergenic_4077554_4077610	FQ312003_intergenic_4077554_4077610	FQ312003_intergenic_4077554_4077610	0	0	0	0	0	0	0	0	1	62	67
FQ312003_intergenic_407808_407983	FQ312003_intergenic_407808_407983	FQ312003_intergenic_407808_407983	7	0	0	0	0	0	0	0	2	206	118
FQ312003_intergenic_4080433_4080500	FQ312003_intergenic_4080433_4080500	FQ312003_intergenic_4080433_4080500	1	0	0	2	0	0	0	2	3	47	51
FQ312003_intergenic_408186_408201	FQ312003_intergenic_408186_408201	FQ312003_intergenic_408186_408201	1	0	0	1	0	0	0	1	0	290	378
FQ312003_intergenic_4084811_4084845	FQ312003_intergenic_4084811_4084845	FQ312003_intergenic_4084811_4084845	0	0	0	0	0	2	0	1	2	11	31
FQ312003_intergenic_4085987_4086052	FQ312003_intergenic_4085987_4086052	FQ312003_intergenic_4085987_4086052	0	0	0	0	0	0	1	2	0	200	92
FQ312003_intergenic_4090246_4090295	FQ312003_intergenic_4090246_4090295	FQ312003_intergenic_4090246_4090295	3	0	0	0	0	0	0	0	0	1	6
FQ312003_intergenic_4092226_4092313	FQ312003_intergenic_4092226_4092313	FQ312003_intergenic_4092226_4092313	0	0	0	0	0	0	0	0	3	303	853
FQ312003_intergenic_4093785_4094003	FQ312003_intergenic_4093785_4094003	FQ312003_intergenic_4093785_4094003	0	3	0	0	0	0	0	0	0	239	111
FQ312003_intergenic_4094803_4094931	FQ312003_intergenic_4094803_4094931	FQ312003_intergenic_4094803_4094931	4	0	0	4	0	0	0	0	0	13	5
FQ312003_intergenic_4101918_4102432	FQ312003_intergenic_4101918_4102432	FQ312003_intergenic_4101918_4102432	10	0	0	0	3	0	1	4	4	1434	996
FQ312003_intergenic_4105149_4105426	FQ312003_intergenic_4105149_4105426	FQ312003_intergenic_4105149_4105426	2	4	0	0	0	2	2	0	2	218	379
