Protein Accession No	Gene	Protein Description	Protein Mr	uninfected mouse 	Group 1	Group 2	Group 3	Group 1/Group2	Group 1/Group 3	Group 2/Group 3
SL1344_1071	0	SL1344_1071 hypothetical oxidoreductase 1179255:1180361 forward MW:40107	40081	0.00000%	0.00000%	0.00000%	0.00000%	-8.3575520046	-6.3575520046	2
SL1344_1072	ycdW 	SL1344_1072 hypothetical 2-hydroxyacid dehydrogenase in phoh-csgg intergenic region 1181205:1182143 forward MW:35034	35012	0.00000%	0.00000%	0.00328%	0.00082%	-8.3353903547	-7.5156998383	0.8196905164
SL1344_1073	ycdX 	SL1344_1073 conserved hypothetical protein 1182228:1182965 forward MW:26905	26889	0.00000%	0.00000%	0.00323%	0.00183%	0	0	0
SL1344_1074	ycdY 	SL1344_1074 conserved hypothetical protein 1182989:1183543 forward MW:20716	20703	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1084	0	SL1344_1084 Hypothetical UPF0189 protein <ORFName>. 1189154:1189693 forward MW:19195	19184	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1087	mdoG 	SL1344_1087 Glucans biosynthesis protein G precursor. 1192559:1194094 forward MW:57849	57812	0.00000%	0.00000%	0.00000%	0.00000%	-8.2094533656	-8.8137811912	-0.6043278256
SL1344_1088	mdoH 	SL1344_1088 Glucans biosynthesis glucosyltransferase H 1194087:1196630 forward MW:97101	97038	0.00000%	0.00000%	0.00296%	0.00450%	-8.2191685205	-5.2094533656	3.0097151548
SL1344_1090	msyB 	SL1344_1090 acidic protein MsyB; multicopy suppressor of SecY 1196932:1197306 reverse MW:14397	14388	0.00000%	0.00000%	0.00298%	0.00037%	-8.3398500029	0	8.3398500029
SL1344_1092	htrB 	SL1344_1092 lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-) (heat shock protein) 1198757:1199677 reverse MW:35214	35190	0.00000%	0.00000%	0.00324%	0.00000%	0	0	0
SL1344_1094	yceI 	SL1344_1094 Hypothetical UPF0312 protein <ORFName> precursor. 1201001:1201576 reverse MW:21022	21010	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1097	solA 	SL1344_1097 N-methyl-L-tryptophan oxidase 1202562:1203680 reverse MW:40664	40638	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.3750394313	-6.3750394313
SL1344_1098	bssS 	SL1344_1098 conserved hypothetical protein 1203793:1204050 reverse MW:9848	9842	0.00000%	0.00000%	0.00000%	0.00083%	0	0	0
SL1344_1100	pyrC 	SL1344_1100 Dihydroorotase 1204656:1205702 reverse MW:38605	38580	0.00000%	0.00000%	0.00000%	0.00000%	-9.3923174228	-8.4878400338	0.904477389
SL1344_1101	yceB 	SL1344_1101 conserved hypothetical protein 1205807:1206367 reverse MW:20620	20607	0.00000%	0.00000%	0.00672%	0.00359%	-8.4008794363	0	8.4008794363
SL1344_1102	grxB 	SL1344_1102 glutaredoxin 2 1206492:1207139 reverse MW:24463	24448	0.00000%	0.00000%	0.00338%	0.00000%	-5.4054687904	-1.7425037777	3.6629650127
SL1344_1104	rimJ 	SL1344_1104 ribosomal-protein-alanine acetyltransferase 1208648:1209232 forward MW:22607	22592	0.00000%	0.00026%	0.01102%	0.00087%	0	0	0
SL1344_1105	yceH 	SL1344_1105 conserved hypothetical protein 1209268:1209915 forward MW:24120	24105	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1106	mviM 	SL1344_1106 hypothetical virulence factor MviM 1209917:1210840 forward MW:33979	33957	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1108	flgN 	SL1344_1108 flagella synthesis protein FlgN 1212761:1213183 reverse MW:15989	15979	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1109	flgM 	SL1344_1109 negative regulator of flagellin synthesis (anti-sigma factor) 1213188:1213481 reverse MW:10568	10561	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1111	flgB 	SL1344_1111 hypothetical flagellar basal-body rod protein FlgB (proximal rod protein) 1214389:1214805 forward MW:15129	15120	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1112	flgC 	SL1344_1112 hypothetical flagellar basal-body rod protein FlgC (proximal rod protein) 1214809:1215213 forward MW:13982	13973	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1113	flgD 	SL1344_1113 flagellar hook formation protein FlgD 1215225:1215923 forward MW:23988	23973	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1114	flgE 	SL1344_1114 flagellar hook protein FlgE 1215950:1217161 forward MW:42210	42185	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1116	flgG 	SL1344_1116 flagellar basal-body rod protein FlgG (distal rod protein) 1217951:1218733 forward MW:27770	27753	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1117	flgH 	SL1344_1117 Flagellar L-ring protein precursor 1218788:1219486 forward MW:24709	24693	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1118	flgI 	SL1344_1118 Flagellar P-ring protein precursor 1219498:1220595 forward MW:38169	38145	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1120	flgK 	SL1344_1120 flagellar hook-associated protein 1 1221610:1223271 forward MW:59109	59074	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1121	flgL 	SL1344_1121 flagellar hook-associated protein 3 1223286:1224239 forward MW:34175	34154	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1122	ams 	SL1344_1122 ribonuclease E 1224496:1227699 reverse MW:119403	119329	0.00000%	0.00000%	0.00000%	0.00000%	-8.447968768	-8.4556207792	-0.0076520112
SL1344_1123	rluC 	SL1344_1123 ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70) 1228273:1229232 forward MW:35939	35916	0.00000%	0.00014%	0.04889%	0.04915%	0	0	0
SL1344_1126	maf 	SL1344_1126 conserved hypothetical protein 1230633:1231217 reverse MW:21492	21479	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1127	yceD 	SL1344_1127 conserved hypothetical protein 1231415:1231936 forward MW:19188	19177	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.4594316186	-6.4594316186
SL1344_1128	rpl32 	SL1344_1128 50S ribosomal protein L32. Chloroplast 50S ribosomal protein L32. 1231988:1232161 forward MW:6446	6442	0.00000%	0.00000%	0.00000%	0.00088%	-8.4512111118	-15.5753619716	-7.1241508598
SL1344_1129	plsX 	SL1344_1129 Fatty acid/phospholipid synthesis protein plsX. 1232295:1233374 forward MW:38716	38692	0.00000%	0.00000%	0.00350%	0.48826%	0	0	0
SL1344_1130	fabH 	SL1344_1130 3-oxoacyl-[acyl-carrier-protein] synthase III 1233454:1234407 forward MW:33523	33502	0.00000%	0.00000%	0.00000%	0.00000%	-9.4220647662	-8.2667865407	1.1552782255
SL1344_1131	fabD 	SL1344_1131 malonyl CoA-acyl carrier protein transacylase 1234423:1235352 forward MW:32405	32385	0.00000%	0.00000%	0.00686%	0.00308%	-8.3750394313	-8.2761244053	0.0989150261
SL1344_1132	fabG 	SL1344_1132 3-oxoacyl-[acyl-carrier protein] reductase 1235365:1236099 forward MW:25545	25529	0.00000%	0.00000%	0.00332%	0.00310%	-4.8912089734	-2.3978769481	2.4933320253
SL1344_1133	acpP 	SL1344_1133 acyl carrier protein 1236255:1236491 forward MW:8639	8634	0.00000%	0.00037%	0.01098%	0.00195%	3	3	0
SL1344_1134	fabF 	SL1344_1134 3-oxoacyl-[acyl-carrier-protein] synthase II 1236577:1237818 forward MW:42953	42926	0.00000%	0.00008%	0.00000%	0.00000%	-5.3991710938	-4.0565835284	1.3425875655
SL1344_1135	pabC 	SL1344_1135 4-amino-4-deoxychorismate lyase 1237942:1238751 forward MW:30049	30030	0.00000%	0.00025%	0.01055%	0.00416%	0	0	0
SL1344_1136	yceG 	SL1344_1136 hypothetical secreted protein 1238820:1239776 forward MW:36010	35988	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1137	tmk 	SL1344_1137 Thymidylate kinase 1239766:1240407 forward MW:23724	23709	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1138	holB 	SL1344_1138 DNA polymerase III, delta~ subunit 1240404:1241408 forward MW:36843	36820	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1139	ycfH 	SL1344_1139 conserved hypothetical protein 1241419:1242216 forward MW:29821	29802	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_1140	ptsG 	SL1344_1140 PTS system, glucose-specific IIBC component 1242511:1243944 forward MW:50497	50465	0.00000%	0.00000%	0.00000%	0.00042%	0	-6.3923174228	-6.3923174228
SL1344_1141	fhuE 	SL1344_1141 outer-membrane receptor for Fe(iii)-coprogen, fe(iii)-ferrioxamine b and fe(iii)-rhodotrulic acid 1244029:1246203 reverse MW:80894	80843	0.00000%	0.00000%	0.00000%	0.00084%	0	-9.7414669864	-9.7414669864
SL1344_1142	ycfF 	SL1344_1142 hypothetical protein kinase C inhibitor 1246545:1246904 forward MW:13269	13261	0.00000%	0.00000%	0.00000%	0.00856%	3	-4.3128829553	-7.3128829553
SL1344_1143	ycfL 	SL1344_1143 hypothetical lipoprotein 1246907:1247281 forward MW:13619	13611	0.00000%	0.00008%	0.00000%	0.00159%	0	0	0
SL1344_1144	ycfM 	SL1344_1144 hypothetical lipoprotein 1247295:1247933 forward MW:22523	22510	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1146	nagZ 	SL1344_1146 Beta-hexosaminidase 1248749:1249774 forward MW:37698	37674	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1147	ycfP 	SL1344_1147 conserved hypothetical protein 1249799:1250341 forward MW:21077	21064	0.00000%	0.00000%	0.00000%	0.00000%	3	3	0
SL1344_1148	ndh 	SL1344_1148 NADH dehydrogenase 1250596:1251900 forward MW:47378	47348	0.00000%	0.00008%	0.00000%	0.00000%	0	-6.9886846868	-6.9886846868
SL1344_1150	ycfQ 	SL1344_1150 hypothetical TetR-family regulatory protein 1252693:1253328 reverse MW:23693	23678	0.00000%	0.00000%	0.00000%	0.00127%	0	0	0
SL1344_1153	mfd 	SL1344_1153 transcription-repair coupling factor (TrcF) 1255037:1258483 reverse MW:129910	129827	0.00000%	0.00000%	0.00000%	0.00000%	0	-8.2191685205	-8.2191685205
SL1344_1154	ycfU 	SL1344_1154 ABC transporter integral membrane subunit 1258821:1260020 forward MW:43281	43253	0.00000%	0.00000%	0.00000%	0.00298%	0	0	0
SL1344_1155	lolD 	SL1344_1155 ABC transporter ATP-binding subunit 1260013:1260714 forward MW:25479	25463	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1156	ycfW 	SL1344_1156 ABC transporter integral membrane subunit 1260714:1261958 forward MW:44982	44953	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1157	ycfX 	SL1344_1157 hypothetical ROK-family protein 1261987:1262898 forward MW:33060	33039	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_1158	cobB 	SL1344_1158 NAD-dependent deacetylase 1262917:1263738 forward MW:31138	31118	0.00000%	0.00000%	0.00000%	0.00042%	0	-6.3750394313	-6.3750394313
SL1344_1159	potD 	SL1344_1159 spermidine/putrescine-binding periplasmic protein precursor 1263820:1264866 reverse MW:39021	38997	0.00000%	0.00000%	0.00000%	0.00083%	-5.5145731728	-6.7738456599	-1.259272487
SL1344_1163	potA 	SL1344_1163 spermidine/putrescine transport ATP-binding protein PotA (ABC superfamily) 1268172:1269308 reverse MW:42840	42813	0.00000%	0.00007%	0.00320%	0.00766%	0	-6.3575520046	-6.3575520046
SL1344_1164	pepT 	SL1344_1164 Peptidase T 1269559:1270788 forward MW:44849	44821	0.00000%	0.00000%	0.00000%	0.00082%	0	-7.4676055501	-7.4676055501
SL1344_1167	ycfD 	SL1344_1167 conserved hypothetical protein 1272877:1273998 reverse MW:42589	42562	0.00000%	0.00000%	0.00000%	0.00177%	0	-5.2479275134	-5.2479275134
SL1344_1168	phoQ 	SL1344_1168 sensor protein PhoQ, regulator of virulence determinants 1274079:1275542 reverse MW:55467	55432	0.00000%	0.00000%	0.00000%	0.00038%	0	-6.4093909361	-6.4093909361
SL1344_1169	phoP 	SL1344_1169 transcriptional regulatory protein PhoP, regulator of virulence determinants 1275542:1276216 reverse MW:25633	25617	0.00000%	0.00000%	0.00000%	0.00085%	-4.642939902	-1.6374299206	3.0055099814
SL1344_1170	purB 	SL1344_1170 adenylosuccinate lyase 1276340:1277710 reverse MW:51547	51515	0.00000%	0.00063%	0.01574%	0.00196%	-6.6147098441	-7.6083868462	-0.9936770021
SL1344_1171	ycfC 	SL1344_1171 conserved hypothetical protein 1277714:1278361 reverse MW:23129	23114	0.00000%	0.00007%	0.00686%	0.01366%	0	0	0
SL1344_1172	mnmA 	SL1344_1172 Probable tRNA 1278442:1279548 reverse MW:40870	40845	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_1173	ymfB 	SL1344_1173 hypothetical mutT family protein 1279602:1280063 reverse MW:17435	17425	0.00000%	0.00000%	0.00000%	0.00042%	0	0	0
SL1344_1176	icdA 	SL1344_1176 isocitrate dehydrogenase 1281238:1282488 forward MW:45788	45759	0.00000%	0.00000%	0.00000%	0.00000%	-5.4100194245	-5.5276218041	-0.1176023796
SL1344_1177	0	SL1344_1177 predicted bacteriophage protein 1282936:1284060 forward MW:42268	42241	0.00000%	0.00054%	0.02296%	0.02491%	0	0	0
SL1344_1181	envE 	SL1344_1181 hypothetical lipoprotein 1286749:1287270 reverse MW:19063	19052	0.00000%	0.00000%	0.00000%	0.00000%	-5.3750394313	3	8.3750394313
SL1344_1184	pagC 	SL1344_1184 outer membrane invasion protein (PagC) 1289191:1289661 forward MW:17170	17159	0.00000%	0.00008%	0.00332%	0.00000%	-3.2102827391	-0.6645796688	2.5457030703
SL1344_1185	pliC 	SL1344_1185 hypothetical secreted protein 1290898:1291242 reverse MW:12575	12567	0.00000%	0.00188%	0.01740%	0.00298%	0	-7.3219280949	-7.3219280949
SL1344_1187	0	SL1344_1187 hypothetical heat shock protein 1292369:1292836 forward MW:17551	17540	0.00000%	0.00000%	0.00000%	0.00160%	0	0	0
SL1344_1190	0	SL1344_1190 hypothetical lipoprotein 1294980:1295294 reverse MW:10633	10626	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_1191	0	SL1344_1191 hypothetical substrate-binding transport protein 1295976:1297610 forward MW:60028	59991	0.00000%	0.00000%	0.00000%	0.00042%	0	-10.5206186806	-10.5206186806
SL1344_1197	0	SL1344_1197 conserved hypothetical protein 1302170:1302496 forward MW:12094	12085	0.00000%	0.00000%	0.00000%	0.01469%	0	0	0
SL1344_1198	0	SL1344_1198 conserved hypothetical protein 1302693:1303340 forward MW:24624	24608	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.6293566201	-7.6293566201
SL1344_1202	0	SL1344_1202 hypothetical protein 1306147:1306395 reverse MW:9375	9370	0.00000%	0.00000%	0.00000%	0.00198%	0	0	0
SL1344_1204	aroQ 	SL1344_1204 chorismate mutase 1306706:1307251 forward MW:20582	20569	0.00000%	0.00000%	0.00000%	0.00000%	-5.3966047812	3	8.3966047812
SL1344_1211	yaoF 	SL1344_1211 conserved hypothetical protein 1310672:1310923 forward MW:9213	9208	0.00000%	0.00008%	0.00337%	0.00000%	0	0	0
SL1344_1213	yeaO 	SL1344_1213 predicted bacteriophage protein 1311289:1311636 reverse MW:13629	13621	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1217	yeaK 	SL1344_1217 conserved hypothetical protein 1314570:1315088 reverse MW:18506	18495	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1219	yeaH 	SL1344_1219 conserved hypothetical protein 1317272:1318558 reverse MW:49516	49485	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1220	yeaG 	SL1344_1220 conserved hypothetical protein 1318681:1320465 reverse MW:68511	68468	0.00000%	0.00000%	0.00000%	0.00000%	-6.9395792143	-5.3353903547	1.6041888596
SL1344_1221	mipA 	SL1344_1221 hypothetical outer membrane protein 1321042:1321788 forward MW:27992	27975	0.00000%	0.00008%	0.00982%	0.00323%	0	0	0
SL1344_1223	0	SL1344_1223 hypothetical oxidoreductase 1323371:1324228 forward MW:31328	31308	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3219280949	-5.3219280949
SL1344_1224	yeaD 	SL1344_1224 conserved hypothetical protein 1324327:1325211 reverse MW:32560	32540	0.00000%	0.00000%	0.00000%	0.00040%	3	-4.0552824355	-7.0552824355
SL1344_1225	gapA 	SL1344_1225 glyceraldehyde 3-phosphate dehydrogenase A 1325546:1326541 reverse MW:35586	35564	0.00000%	0.00008%	0.00000%	0.00133%	-6.019249314	-6.3481069054	-0.3288575914
SL1344_1226	yeaA 	SL1344_1226 conserved hypothetical protein 1326853:1327296 forward MW:16681	16671	0.00000%	0.00114%	0.07394%	0.09287%	0	0	0
SL1344_1227	yeaC 	SL1344_1227 conserved hypothetical protein 1327338:1327616 forward MW:10452	10445	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1229	ansA 	SL1344_1229 L-Asparaginase I 1328651:1329667 reverse MW:36845	36822	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1230	sppA 	SL1344_1230 protease IV 1329763:1331619 reverse MW:67220	67177	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.8008998999	-7.8008998999
SL1344_1231	ydjA 	SL1344_1231 hypothetical nitroreductase 1331793:1332344 forward MW:20128	20115	0.00000%	0.00000%	0.00000%	0.00223%	-9.4512111118	-5.3575520046	4.0936591072
SL1344_1232	selD 	SL1344_1232 Selenide,water dikinase 1332462:1333505 forward MW:36438	36414	0.00000%	0.00000%	0.00700%	0.00041%	0	-6.3923174228	-6.3923174228
SL1344_1233	topB 	SL1344_1233 DNA topoisomerase III 1333510:1335459 forward MW:73039	72993	0.00000%	0.00000%	0.00000%	0.00084%	0	0	0
SL1344_1234	gdhA 	SL1344_1234 NADP-specific glutamate dehydrogenase 1335489:1336832 reverse MW:48575	48543	0.00000%	0.00000%	0.00000%	0.00000%	0	-8.6510516912	-8.6510516912
SL1344_1235	0	SL1344_1235 hypothetical exported protein 1337071:1337346 forward MW:10220	10213	0.00000%	0.00000%	0.00000%	0.00402%	0	0	0
SL1344_1236	0	SL1344_1236 hypothetical MutT-family protein 1337306:1337722 reverse MW:15187	15178	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1237	xthA 	SL1344_1237 exodeoxyribonuclease III 1337795:1338601 reverse MW:30785	30766	0.00000%	0.00000%	0.00000%	0.00000%	-8.2992080184	-6.4262647547	1.8729432637
SL1344_1238	argD 	SL1344_1238 Acetylornithine/succinyldiaminopimelate aminotransferase 1339047:1340273 forward MW:43832	43804	0.00000%	0.00000%	0.00315%	0.00086%	0	0	0
SL1344_1239	astA 	SL1344_1239 arginine N-succinyltransferase 1340264:1341298 forward MW:38278	38253	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1240	astD 	SL1344_1240 succinylglutamic semialdehyde dehydrogenase 1341295:1342773 forward MW:53017	52984	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1243	spy 	SL1344_1243 hypothetical exported protein 1345410:1345895 forward MW:18234	18222	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1244	0	SL1344_1244 conserved hypothetical protein 1345970:1346851 reverse MW:33363	33341	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1245	nadE 	SL1344_1245 NH3-dependent NAD synthetase 1346972:1347799 reverse MW:30483	30465	0.00000%	0.00000%	0.00000%	0.00000%	0	-8.2992080184	-8.2992080184
SL1344_1246	osmE 	SL1344_1246 osmotically inducible lipoprotein E precursor 1348018:1348359 forward MW:12161	12154	0.00000%	0.00000%	0.00000%	0.00315%	-4.2223924213	-5.2266797797	-1.0042873584
SL1344_1247	celA 	SL1344_1247 PTS system, cellobiose-specific IIB component 1348660:1348980 forward MW:11313	11306	0.00000%	0.00018%	0.00336%	0.00674%	0	0	0
SL1344_1249	celC 	SL1344_1249 phosphoenolpyruvate dependent phosphotransferase enzyme III-cellobiose 1350472:1350819 forward MW:12731	12724	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1251	celF 	SL1344_1251 phospho-beta-glucosidase B 1351797:1353152 forward MW:50539	50506	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1252	celG 	SL1344_1252 conserved hypothetical protein 1353165:1353923 forward MW:27958	27940	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1253	katE 	SL1344_1253 catalase HPII 1353967:1356219 reverse MW:83626	83574	0.00000%	0.00000%	0.00000%	0.00000%	-9.4199601778	-7.7347096202	1.6852505576
SL1344_1254	cedA 	SL1344_1254 cell division activator CedA 1356584:1356826 forward MW:9371	9366	0.00000%	0.00000%	0.00685%	0.00213%	0	0	0
SL1344_1255	ydjN 	SL1344_1255 hypothetical sodium:dicarboxylate symporter 1356928:1358319 reverse MW:48646	48615	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1257	yniC 	SL1344_1257 hypothetical hydrolase 1359193:1359861 reverse MW:24293	24278	0.00000%	0.00000%	0.00000%	0.00000%	-9.4429434958	0	9.4429434958
SL1344_1258	yniB 	SL1344_1258 hypothetical membrane protein 1360010:1360546 forward MW:20498	20485	0.00000%	0.00000%	0.00696%	0.00000%	0	0	0
SL1344_1259	0	SL1344_1259 conserved hypothetical protein 1360589:1361449 reverse MW:32601	32580	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.0552824355	-7.0552824355
SL1344_1260	ydiZ 	SL1344_1260 conserved hypothetical protein 1361556:1361846 reverse MW:10442	10436	0.00000%	0.00000%	0.00000%	0.00133%	0	0	0
SL1344_1261	pfkB 	SL1344_1261 6-phosphofructokinase isozyme 1361943:1362875 reverse MW:32565	32545	0.00000%	0.00000%	0.00000%	0.00000%	-8.3793783671	-8.577428828	-0.198050461
SL1344_1263	0	SL1344_1263 hypothetical outer membrane protein 1363971:1364930 reverse MW:34840	34818	0.00000%	0.00000%	0.00333%	0.00382%	-4.7612852734	-4.8278190246	-0.0665337513
SL1344_1265	0	SL1344_1265 Putative DNA/RNA non-specific endonuclease 1365483:1366238 forward MW:27319	27303	0.00000%	0.00025%	0.00678%	0.00710%	0	0	0
SL1344_1267	thrS 	SL1344_1267 Threonyl-tRNA synthetase 1369055:1370983 forward MW:73979	73931	0.00000%	0.00000%	0.00000%	0.00000%	-9.9425145053	-11.094737505	-1.1522229997
SL1344_1268	infC 	SL1344_1268 translation initiation factor IF-3 1370987:1371529 forward MW:20576	20563	0.00000%	0.00000%	0.00984%	0.02187%	-6.3692338097	-0.6374299206	5.7318038891
SL1344_1269	rpl35 	SL1344_1269 50S ribosomal protein L35. Chloroplast 50S ribosomal protein L35. 1371625:1371822 forward MW:7289	7284	0.00000%	0.00027%	0.02232%	0.00042%	3	3	0
SL1344_1270	rpl20 	SL1344_1270 50S ribosomal protein L20. Chloroplast 50S ribosomal protein L20. 1371873:1372229 forward MW:13497	13489	0.00000%	0.00008%	0.00000%	0.00000%	3	-6.6275338845	-9.6275338845
SL1344_1271	pheS 	SL1344_1271 phenylalanyl-tRNA synthetase alpha chain 1372531:1373514 forward MW:36755	36732	0.00000%	0.00008%	0.00000%	0.00791%	-5.8186761549	-4.3492487009	1.4694274541
SL1344_1272	pheT 	SL1344_1272 Phenylalanyl-tRNA synthetase beta chain 1373530:1375917 forward MW:87326	87270	0.00000%	0.00034%	0.01919%	0.00693%	-10.3890935219	-10.0457596614	0.3433338605
SL1344_1273	himA 	SL1344_1273 integration host factor alpha-subunit 1375910:1376221 forward MW:11764	11757	0.00000%	0.00000%	0.01341%	0.01057%	-4.2266797797	-3.1788031528	1.047876627
SL1344_1275	btuE 	SL1344_1275 hypothetical glutathione peroxidase/vitamin B12 transport periplasmic protein BtuE 1377496:1378047 forward MW:20423	20410	0.00000%	0.00018%	0.00337%	0.00163%	0	0	0
SL1344_1278	ydiV 	SL1344_1278 conserved hypothetical protein 1379651:1380364 forward MW:26423	26406	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1279	ydiU 	SL1344_1279 conserved hypothetical protein 1380426:1381868 forward MW:54953	54918	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1281	aroH 	SL1344_1281 3-deoxy-D-arabinoheptulosonate 7-phosphate synthase 1382251:1383297 reverse MW:38750	38726	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1282	ydiA 	SL1344_1282 conserved hypothetical protein 1383453:1384286 reverse MW:31149	31129	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1283	pps 	SL1344_1283 phosphoenolpyruvate synthase 1384581:1387001 forward MW:88841	88783	0.00000%	0.00000%	0.00000%	0.00000%	-10.413627929	-10.3342732853	0.0793546437
SL1344_1292	aroD 	SL1344_1292 3-dehydroquinate dehydratase 1396470:1397228 reverse MW:27325	27308	0.00000%	0.00000%	0.01364%	0.01291%	0	0	0
SL1344_1299	ydiJ 	SL1344_1299 conserved hypothetical FAD-binding protein 1403356:1406412 forward MW:113134	113061	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1300	0	SL1344_1300 conserved hypothetical protein 1406409:1406819 forward MW:14869	14860	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1301	ydiH 	SL1344_1301 conserved hypothetical protein 1406918:1407106 forward MW:7296	7292	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_1304	sufB 	SL1344_1304 conserved hypothetical protein 1409544:1411031 forward MW:54789	54755	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_1305	sufC 	SL1344_1305 hypothetical ABC transport ATP-binding subunit 1411048:1411794 forward MW:27685	27668	0.00000%	0.00000%	0.00000%	0.00042%	0	-6.4093909361	-6.4093909361
SL1344_1307	sufS 	SL1344_1307 hypothetical amintransferase 1413037:1414257 forward MW:44504	44476	0.00000%	0.00000%	0.00000%	0.00085%	0	-5.3219280949	-5.3219280949
SL1344_1308	ynhA 	SL1344_1308 conserved hypothetical protein 1414270:1414686 forward MW:15760	15750	0.00000%	0.00000%	0.00000%	0.00040%	0	0	0
SL1344_1309	ynhG 	SL1344_1309 hypothetical exported protein 1414841:1415842 forward MW:36129	36107	0.00000%	0.00000%	0.00000%	0.00000%	-8.3793783671	-5.3575520046	3.0218263625
SL1344_1310	lppB 	SL1344_1310 major outer membrane lipoprotein 1415909:1416148 reverse MW:8491	8486	0.00000%	0.00000%	0.00333%	0.00041%	0	-8.2479275134	-8.2479275134
SL1344_1311	lpp 	SL1344_1311 major outer membrane lipoprotein 1416231:1416467 reverse MW:8391	8386	0.00000%	0.00000%	0.00000%	0.00304%	1.6283742994	-0.4760527917	-2.1044270911
SL1344_1312	pykF 	SL1344_1312 pyruvate kinase 1416778:1418136 reverse MW:48653	48622	0.09910%	0.11470%	0.03710%	0.15954%	-5.7354969886	-6.1070649776	-0.371567989
SL1344_1315	orf245 	SL1344_1315 hypothetical protein 1420909:1421646 reverse MW:27430	27413	0.00000%	0.00043%	0.02291%	0.02964%	0	0	0
SL1344_1321	ttrR 	SL1344_1321 hypothetical two-component response regulator 1429936:1430574 forward MW:23268	23253	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
