Gene	Alias	BRecon Gene function	JCVI Common Name	Primary Common Name	Primary Enzyme Commission #	JCVI 5' End	JCVI 3' End	JCVI  Sequence Length	JCVI  Protein Length	UniProt Accession	GenBank ID	GO Term
STM1105	hpaH	4-hydroxyphenylacetate catabolism- Hydratase	2-oxo-hepta-3-ene-1,7-dioate hydratase	4-hydroxyphenylacetate catabolism	4.2.1.-	1192359	1193162	804	267	Q7CQS5	AAL20037.1	No Data
STM1106	hpaI	4-hydroxyphenylacetate catabolism- Degradation	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	4-hydroxyphenylacetate catabolism	4.1.2.-	1193173	1193964	792	263	Q8ZQ47	AAL20038.1	No Data
STM1107	hpaX	4-hydroxyphenylacetate catabolism- MFS-Transporter ACS family	major facilitator family transporter, putative	4-hydroxyphenylacetate catabolism	No Data	1194036	1195412	1377	458	Q8ZQ46	AAL20039.1	No Data
STM1117	agp		Agp	glucose-1-phosphatase	3.1.3.10	1203808	1204941	1134	377	O33921	AAL20049.1	No Data
STM1124	putAec		proline dehydrogenase	bifunctional in plasma membrane proline dehydrogenase and	1.5.99.8	1211558	1208415	3144	1047	P10503	AAL20055.1	No Data
STM1125	putP		sodium/proline symporter	SSS family, major sodium/proline symporter	No Data	1211980	1213488	1509	502	P10502	AAL20056.1	No Data
STM1135	no		D-isomer specific 2-hydroxyacid dehydrogenase family protein, putative	paral putative oxidoreductase	No Data	1225066	1226004	939	312	Q8ZQ30	AAL20065.1	GO:0008152
STM1155	lpxL		lipid A biosynthesis lauroyl acyltransferase	lauroyl/myristoyl acyltransferase involved in lipid A biosynthesis	2.3.1.-	1243455	1242616	840	279	Q8ZQ24	AAL20085.1	GO:0008415
STM1160	solA		n-methyl-l-tryptophan oxidase	putative sarcosine oxidase	1.5.3.1	1247539	1246421	1119	372	P58525	AAL20090.1	No Data
STM1163	pyrC		dihydroorotase, homodimeric type	dihydro-orotase	3.5.2.3	1249561	1248515	1047	348	P06204	AAL20093.1	GO:0004151
STM1165	grxB		glutaredoxin 2	glutaredoxin 2	No Data	1250998	1250351	648	215	Q7CQR3	AAL20095.1	No Data
STM1193	fabH-1		3-oxoacyl-(acyl-carrier-protein) synthase III	3-oxoacyl-[acyl-carrier-protein] synthase III acetylCoA ACP transacylase	2.3.1.38	1277312	1278265	954	317	O85139	AAL20122.1	GO:0004315
STM1194	fabD		malonyl CoA-acyl carrier protein transacylase	malonyl-CoA-[acyl-carrier-protein] transacylase	2.3.1.39	1278281	1279210	930	309	O85140	AAL20123.1	GO:0004314
STM1195	fabG		3-oxoacyl-(acyl-carrier-protein) reductase	3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100	1279223	1279957	735	244	P0A2C9	AAL20124.1	GO:0004316
STM1196	acpP		acyl carrier protein	acyl carrier protein	No Data	1280113	1280349	237	78	P0A6B1	AAL20125.1	GO:0000036
STM1197	fabF		3-oxoacyl-[acyl-carrier-protein] synthase II	3-oxoacyl-[acyl-carrier-protein] synthase II	2.3.1.41	1280471	1281676	1206	401	Q8ZQ14	AAL20126.1	No Data
STM1198	pabC		4-amino-4-deoxychorismate lyase, putative	4-amino-4-deoxychorismate lyase	4.-.-.	1281800	1282609	810	269	Q7CQR1	AAL20127.1	GO:0006760
STM1200	tmk		thymidylate kinase	thymidylate kinase	2.7.4.9	1283624	1284265	642	213	P65246	AAL20129.1	GO:0004798
STM1203	ptsG		enzyme II-glc	Sugar Specific PTS family, glucose-specific IIBCcomponent	2.7.1.69	1286369	1287802	1434	477	P37439	AAL20132.1	No Data
STM1204	fhuE		TonB-dependent receptor	outer membrane receptor for Fe(III)-coprogen, Fe(III)-ferrioxamine B	No Data	1290061	1287887	2175	724	Q8ZQ10	AAL20133.1	GO:0004872
STM1208	thiK		thiamine kinase	putative cytoplasmic protein	No Data	1291910	1292596	687	228	Q8ZQ07	AAL20137.1	No Data
STM1209	ycfO		putative glycosyl hydrolase	putative glycosyl hydrolase	No Data	1292619	1293632	1014	337	Q8ZQ06	AAL20138.1	No Data
STM1211	ndh		respiratory NADH dehydrogenase 2; cupric reductase (2nd module)	respiratory NADH dehydrogenase 2 cupric reductase	1.16.1.-	1294478	1295758	1281	426	Q8ZQ05	AAL20140.1	No Data
STM1215	no		putative periplasmic protein	putative periplasmic protein	No Data	1298747	1297782	966	321	Q8ZQ02	AAL20144.1	No Data
STM1220	gki		ROK family protein	putative regulator (NagC/XylR family)	No Data	1305845	1306756	912	303	Q8ZPZ9	AAL20149.1	No Data
STM1221	cobB	redundant function to CobT, also putative nicotinate-nucleotide dimethylbenzimidazolephosphoribosltransferase, homolog of virulence factor	nicotinate mononucleotide:5,6-dimethylbenzimidazole phosphoribosyltransferase	putative nicotinate-nucleotide dimethylbenzimidazolephosphoribosltransferase, homolog of virulence factor	No Data	1306775	1307596	822	273	P0A2F2	AAL20150.1	GO:0008939
STM1222	potD-1		PotD	ABC superfamily (peri_perm), spermidine/putrescine transporter	No Data	1308724	1307678	1047	348	P0A2C7	AAL20151.1	GO:0015417
STM1223	potC		spermidine/putrescine ABC transporter, permease protein	ABC superfamily (membrane), spermidine/putrescine transporter	No Data	1309528	1308749	780	259	Q7CQQ6	AAL20152.1	GO:0015417
STM1225	potB		spermidine/putrescine ABC transporter, permease protein	ABC superfamily (membrane), spermidine/putrescine transporter	No Data	1312046	1311183	864	287	P0A2J7	AAL20154.1	GO:0015417
STM1226	potA		spermidine/putrescine ABC transporter, ATP-binding protein	ABC superfamily (atp_bind), spermidine/putrescine transporter	No Data	1313166	1312030	1137	378	P40790	AAL20155.1	GO:0015417
STM1232	purB		adenylosuccinate lyase	adenylosuccinate lyase	4.3.2.2	1320857	1319487	1371	456	Q8ZPZ6	AAL20161.1	GO:0004018
STM1235	no		MutT/nudix family protein, putative	putative MutT-like protein	No Data	1323210	1322749	462	153	Q8ZPZ3	AAL20164.1	No Data
STM1238	icd		isocitrate dehydrogenase, NADP-dependent	isocitrate dehydrogenase in e14 prophage, specific for	1.1.1.42	1324409	1325635	1227	408	Q8ZPZ0	AAL20167.1	GO:0004450
STM1255	nikA	high-affinity nickel uptake	putative substrate-binding protein	putative ABC transporter periplasmic binding protein	No Data	1339123	1340757	1635	544	Q8ZPY3	AAL20181.1	No Data
STM1256	nikB	high-affinity nickel uptake	putative transmembrane protein	putative ABC transporter	No Data	1340754	1341731	978	325	Q8ZPY2	AAL20182.1	No Data
STM1257	nikC	high-affinity nickel uptake	putative ABC transporter	putative ABC transporter	No Data	1341721	1342533	813	270	Q7CQQ4	AAL20183.1	No Data
STM1258	nikD	high-affinity nickel uptake	putative ATPase component of ABC-type transport system, contain duplicated ATPase domain	putative ATPase component of ABC-type transport system	No Data	1342641	1343324	684	227	O34159	AAL20184.1	No Data
STM1259	nikE	high-affinity nickel uptake	putative ATPase component of ABC-type transport system, contain duplicated ATPase domain	putative ATPase component of ABC-type transport system	No Data	1343318	1343908	591	196	O34160	AAL20185.1	No Data
STM1269	aroQ	periplasmic monofunctional chorismate mutase	chorismate mutase-related protein	putative chorismate mutase	No Data	1349853	1350398	546	181	Q93LJ4	AAL20194.1	No Data
STM1288	no		oxidoreductase, aldo/keto reductase family	putative aldehyde reductase	No Data	1366518	1367375	858	285	Q8ZPW0	AAL20213.1	No Data
STM1290	gapA		glyceraldehyde-3-phosphate dehydrogenase, type I	glyceraldehyde-3-phosphate dehydrogenase A	1.2.1.12	1369697	1368693	1005	334	P0A1P0	AAL20215.1	GO:0006094
STM1291	no		PilB-related protein	putative domain frequently associated with peptide methionine	No Data	1370015	1370443	429	142	P65449	AAL20216.1	No Data
STM1293	pncA		pyrazinamidase/nicotinamidase	nicotinamidase/ pyrazinamidase	3.5.1.19	1371771	1371115	657	218	Q8ZPV8	AAL20218.1	GO:0006734
STM1294	ansA		L-asparaginase I	cytoplasmic L-asparaginase I	3.5.1.1	1372814	1371798	1017	338	Q8ZPV7	AAL20219.1	GO:0004067
STM1297	selD		selenide, water dikinase	selenophosphate synthase	2.7.9.3	1375609	1376652	1044	347	Q8ZPV5	AAL20222.1	GO:0004756
STM1299	gdhA		nadp-specific glutamate dehydrogenase	glutamate dehydrogenase, NADP-specific	1.4.1.4	1379979	1378636	1344	447	P15111	AAL20224.1	No Data
STM1301	mutT		mutator mutT protein	putative mutator MutT protein	No Data	1380869	1380453	417	138	Q8ZPV3	AAL20226.1	GO:0006281
STM1303	astC		acetylornithine aminotransferase	succinylornithine transaminase, also has acetylornitine transaminase activity	2.6.1.-	1382194	1383420	1227	408	Q8ZPV2	AAL20228.1	GO:0003992
STM1304	astA		arginine N-succinyltransferase	arginine succinyltransferase	2.3.1.109	1383411	1384445	1035	344	Q8ZPV1	AAL20229.1	GO:0006527
STM1305	astD		succinylglutamate 5-semialdehyde dehydrogenase	succinylglutamic semialdehyde dehydrogenase	1.2.1.-	1384508	1385920	1413	470	Q8ZPV0	AAL20230.1	GO:0006527
STM1306	astB		succinylarginine dihydrolase	succinylarginine dihydrolase	No Data	1385917	1387260	1344	447	Q8ZPU9	AAL20231.1	No Data
STM1307	astE		succinylglutamate desuccinylase, putative	succinylglutamate desuccinylase	3.1.-.-	1387253	1388221	969	322	Q8ZPU8	AAL20232.1	GO:0006527
STM1310	nadE		NAD+ synthetase	NAD synthetase, prefers NH3 over glutamine	6.3.5.1	1390946	1390119	828	275	Q8ZPU5	AAL20235.1	GO:0003952
STM1312	celA		PTS system component	PTS family, sugar specific enzyme IIB for	2.7.1.69	1391807	1392127	321	106	Q7CQP2	AAL20237.1	GO:0009401
STM1313	celB		PTS system, cellobiose-specific IIC component	PTS family, sugar specific enzyme II for	No Data	1392210	1393568	1359	452	Q8ZPU4	AAL20238.1	GO:0009401
STM1314	celC		PTS system, cellobiose-specific IIA component	PTS family, sugar specific enzyme III for	2.7.1.69	1393619	1393966	348	115	Q8ZPU3	AAL20239.1	GO:0009401
STM1316	chbF		glycosyl hydrolase, family 4	phospho-beta-glucosidase (cellobiose-6-phosphate hydrolase)	3.2.1.86	1394944	1396299	1356	451	Q8ZPU2	AAL20241.1	GO:0008706
STM1318	katE		catalase	catalase hydroperoxidase HPII(III), RpoS dependent	1.11.1.6	1399366	1397114	2253	750	Q9L328	AAL20243.1	No Data
STM1326	pfkB		carbohydrate kinase, PfkB family	6-phosphofructokinase II	2.7.1.11	1406022	1405090	933	310	Q8ZPT5	AAL20251.1	GO:0006096
STM1332	rfc		o-antigen polymerase. {salmonella	O-antigen polymerase	No Data	1411217	1410087	1131	376	P0A235	AAL20257.1	No Data
STM1333	thrS		threonyl-tRNA synthetase	threonine tRNA synthetase	6.1.1.3	1412202	1414130	1929	642	Q8ZPS9	AAL20258.1	GO:0004829
STM1337	pheS		phenylalanyl-tRNA synthetase, alpha subunit	phenylalanine tRNA synthetase, alpha-subunit	6.1.1.20	1415678	1416661	984	327	P67038	AAL20262.1	GO:0004826
STM1338	pheT		phenylalanyl-tRNA synthetase, beta subunit	phenylalanine tRNA synthetase, beta-subunit	6.1.1.20	1416677	1419064	2388	795	P15434	AAL20263.1	GO:0004826
STM1340	no		vitamin B12 ABC transporter, permease protein BtuC, putative	ABC superfamily (membrane), vitamin B12 transport protein	No Data	1419562	1420551	990	329	Q8ZPS8	AAL20265.1	GO:0015420
STM1341	bsaA		glutathione peroxidase	ABC superfamily (binding protein), vitamin B12 transport	No Data	1420643	1421194	552	183	Q7CQN7	AAL20266.1	No Data
STM1342	btuD		iron ABC transporter, ATP-binding protein	ABC superfamily (binding protein), vitamin B12 transport	No Data	1421194	1421943	750	249	P63351	AAL20267.1	GO:0015420
STM1347	no		phospho-2-dehydro-3-deoxyheptonate aldolase	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase), tryptophan repressible	4.1.2.15	1426444	1425398	1047	348	Q8ZPS4	AAL20272.1	GO:0003849
STM1349	ppsa		phosphoenolpyruvate synthase	phosphoenolpyruvate synthase	2.7.9.2	1427770	1430148	2379	792	Q8ZPS3	AAL20274.1	GO:0006094
STM1350	no		substrate--CoA ligase, putative	Homolog of a plant pathogenicity factor	No Data	1431829	1430189	1641	546	Q8ZPS2	AAL20275.1	No Data
STM1358	aroD		3-dehydroquinate dehydratase, type I	3-dehydroquinate dehydratase	4.2.1.10	1440480	1439617	864	287	P58687	AAL20283.1	GO:0003855
STM1359	aroE		shikimate 5-dehydrogenase	putative shikimate 5-dehydrogenase	No Data	1441286	1440420	867	288	Q8ZPR4	AAL20284.1	No Data
STM1375	no		putative LysM domain	putative LysM domain	No Data	1457989	1458990	1002	333	Q8ZPQ0	AAL20299.1	No Data
STM1377	lpp		major outer membrane lipoprotein	murein lipoprotein, links outer and inner membranes	No Data	1459615	1459379	237	78	Q7CQN4	AAL20301.1	GO:0009279
STM1378	pyk		pyruvate kinase	pyruvate kinase I (formerly F), fructose stimulated	2.7.1.40	1461338	1459926	1413	470	P77983	AAL20302.1	GO:0004743
STM1383	ttrA	Tetrathionate reductase complex, subunit A	molybdopterin oxidoreductase, molybdopterin binding subunit, putative	Tetrathionate reductase complex, subunit A	No Data	1469417	1466355	3063	1020	Q9Z4S6	AAL20307.1	No Data
STM1384	ttrC	Tetrathionate reductase complex, subunit C	Tetrathionate reductase complex, subunit C	Tetrathionate reductase complex, subunit C	No Data	1470432	1469410	1023	340	Q9Z4S7	AAL20308.1	No Data
STM1385	ttrB	Tetrathionate reductase complex, subunit B	molybdopterin oxidoreductase, iron-sulfur binding subunit	Tetrathionate reductase complex, subunit B	No Data	1471167	1470433	735	244	Q7CQM9	AAL20309.1	No Data
STM1426	ribE		riboflavin synthase, alpha subunit	riboflavin synthase, alpha chain	2.5.1.9	1503702	1504193	492	163	Q8ZPP1	AAL20348.1	GO:0004746
STM1427	cfa		cyclopropane-fatty-acyl-phospholipid synthase	cyclopropane fatty acyl phospholipid synthase	2.1.1.79	1505383	1504235	1149	382	Q7CQL0	AAL20349.1	GO:0008610
STM1431	sodB		superoxide dismutase, Fe	superoxide dismutase, iron	1.15.1.1	1509994	1509413	582	193	P0A2F4	AAL20353.1	GO:0008382
STM1433	no		glutaredoxin-related protein	putative glutaredoxin protein	No Data	1511277	1511624	348	115	Q7CQK9	AAL20355.1	No Data
STM1435	gloA		lactoylglutathione lyase	glyoxalase I, nickel isomerase	4.4.1.5	1512920	1512450	471	156	P0A1Q2	AAL20357.1	GO:0004462
STM1440	sodC		Copper/zinc superoxide dismutase	copper/zinc superoxide dismutase	1.15.1.1	1516050	1516571	522	173	O68901	AAL20362.1	No Data
STM1446	no		putative cytoplasmic protein	putative cytoplasmic protein	No Data	1521107	1522228	1122	373	Q8ZPN1	AAL20368.1	No Data
STM1448	pdxH		pyridoxamine 5-phosphate oxidase	pyridoxine 5-phosphate oxidase	1.4.3.5	1522704	1523360	657	218	Q8ZPM9	AAL20370.1	GO:0004733
STM1449	tyrS		tyrosyl-tRNA synthetase	tyrosine tRNA synthetase	6.1.1.1	1523487	1524761	1275	424	Q7CQK7	AAL20371.1	GO:0004831
STM1450	no		pyridoxal kinase	pyridoxal kinase 2/pyridoxine kinase	2.7.1.35	1524893	1525681	789	262	Q8ZPM8	AAL20372.1	GO:0008478
STM1463	add		adenosine deaminase	adenosine deaminase	3.5.4.4	1538476	1537496	981	326	Q8ZPL9	AAL20385.1	GO:0004000
STM1464			pseudogene									
STM1465			pseudogene									
STM1467	manA		mannose-6-phosphate isomerase, class I	mannose-6-phosphate isomerase	5.3.1.8	1541891	1540812	1080	359	P25081	AAL20387.1	GO:0004476
STM1468	fumB		fumarate hydratase class I, anaerobic	fumarase A (fumarate hydratase class I), aerobic	4.2.1.2	1542187	1543929	1743	580	P40720	AAL20388.1	GO:0004333
STM1469	fumC		fumarate hydratase, class II	fumarase C (fumarate hydratase Class II)	4.2.1.2	1544000	1545403	1404	467	Q8ZPL7	AAL20389.1	GO:0004333
STM1473	ompN		outer membrane protein N, non-specific porin (2nd module)	outer membrane protein N, non-specific porin	No Data	1550809	1549676	1134	377	Q8ZPL4	AAL20393.1	No Data
STM1477	arcD		arginine/ornithine antiporter	putative amino acid transporter	No Data	1553926	1552544	1383	460	Q7CQK4	AAL20396.1	GO:0000064
STM1479	pntA		NAD(P) transhydrogenase, alpha subunit	pyridine nucleotide transhydrogenase (proton pump), alpha subunit	1.6.1.2	1555695	1557224	1530	509	Q8ZPL0	AAL20398.1	GO:0003957
STM1480	pntB		NAD(P) transhydrogenase, beta subunit	pyridine nucleotide transhydrogenase (proton pump), beta subunit	1.6.1.2	1557235	1558623	1389	462	Q7CQK3	AAL20399.1	GO:0003957
STM1489	bioD		dethiobiotin synthetase	putative dethiobiotin synthase	6.3.3.3	1566447	1567142	696	231	Q8ZPK6	AAL20408.1	GO:0004141
STM1490	no		chloride channel, putative	putative chloride channel protein	No Data	1568276	1567098	1179	392	Q8ZPK5	AAL20409.1	No Data
STM1496	dmsC		anaerobic dimethyl sulfoxide reductase, subunit C	putative dimethylsulfoxide reductase	No Data	1573788	1572931	858	285	Q8ZPJ9	AAL20415.1	No Data
STM1497	dmsB		molybdopterin oxidoreductase, iron-sulfur binding subunit	putative dimethyl sulphoxide reductase	1.8.99.-	1574407	1573790	618	205	Q8ZPJ8	AAL20416.1	No Data
STM1498	no		biotin sulfoxide reductase, putative	putative dimethyl sulphoxide reductase	1.8.99.-	1576853	1574418	2436	811	Q8ZPJ7	AAL20417.1	GO:0003824
STM1499	no		putative dimethyl sulphoxide reductase, chain A1	putative dimethyl sulphoxide reductase, chain A1	1.8.99.-	1579390	1576952	2439	812	Q8ZPJ6	AAL20418.1	No Data
STM1502	speG		spermidine n1-acetyltransferase	spermidine N1-acetyltransferase	2.3.1.57	1581270	1580710	561	186	Q8ZPJ3	AAL20421.1	GO:0004145
STM1511	no		hypothetical oxidoreductase in dcp 3region , fragment	putative oxidoreductase	1.-.-.-	1589548	1588802	747	248	P69936	AAL20430.1	No Data
STM1517	no		efflux pump for cysteine biosynthetic pathway intermediates	putative permease, integral membrane protein	No Data	1595832	1596731	900	299	Q56072	AAL20436.1	No Data
STM1522	no		transporter, putative	MFS family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein, contributes to	No Data	1600092	1598902	1191	396	P58531	AAL20441.1	No Data
STM1525	yneH		putative glutaminase	putative glutaminase	3.5.1.2	1602656	1603570	915	304	Q8ZPI2	AAL20444.1	No Data
STM1538	hydB	hydrogenase-1 large subunit	quinone-reactive Ni/Fe hydrogenase, large subunit	putative hydrogenase-1 large subunit	1.18.99.1	1613798	1611996	1803	600	Q8ZPH0	AAL20457.1	No Data
STM1539	hydA	hydrogenase-1 small subunit	quinone-reactive Ni/Fe hydrogenase, small subunit	putative hydrogenase-1 small subunit	1.18.99.1	1614904	1613801	1104	367	Q8ZPG9	AAL20458.1	No Data
STM1556	nhaC	Na+/H+ antiporter	Na+/H+ antiporter NhaC	putative Na+/H+ antiporter	No Data	1633281	1634732	1452	483	Q8ZPF4	AAL20474.1	GO:0006810
STM1557	no		aminotransferase, class II	putative aminotransferase	2.6.1.-	1634844	1635947	1104	367	Q8ZPF3	AAL20475.1	No Data
STM1566	sfcA		malate oxidoreductase	NAD-linked malate dehydrogenase	1.1.1.38	1645811	1647508	1698	565	Q8ZPE8	AAL20484.1	GO:0006108
STM1567	adhP		alcohol dehydrogenase, zinc-containing	alcohol dehydrogenase, propanol preferring	1.1.1.1	1647794	1648804	1011	336	Q7CQI9	AAL20485.1	No Data
STM1568	no		formate dehydrogenase, gamma subunit	formate dehydrogenase-N, cytochrome B556(Fdn) gamma subunit, nitrate-inducible	1.2.1.2	1649551	1648895	657	218	Q8ZPE7	AAL20486.1	No Data
STM1569	fdnH	Glycolaldehyd-Dehydrogenase	formate dehydrogenase, beta subunit	formate dehydrogenase-N, Fe-S beta subunit, nitrate-inducible	1.2.1.21	1650428	1649544	885	294	Q8ZPE6	AAL20487.1	No Data
STM1570	no		formate dehydrogenase, alpha subunit	putative molybdopterin oxidoreductases	1.2.1.2	1652853	1650442	2412	803	Q8ZPE5	AAL20488.1	No Data
STM1576	narK-2		NarK protein	MFS superfamily, nitrate extrusion protein	No Data	1659208	1660596	1389	462	P37593	AAL20494.1	No Data
STM1577	no		nitrate reductase, alpha subunit	nitrate reductase 2, alpha subunit	1.7.99.4	1660700	1664428	3729	1242	Q8ZPE1	AAL20495.1	GO:0008940
STM1578	narH		respiratory nitrate reductase, beta subunit	nitrate reductase 2, beta subunit	1.7.99.4	1664425	1665969	1545	514	Q8ZPE0	AAL20496.1	No Data
STM1579	no		nitrate reductase-related protein	nitrate reductase 2, delta subunit, assembly function	1.7.99.4	1665969	1666664	696	231	Q8ZPD9	AAL20497.1	No Data
STM1580	narI		respiratory nitrate reductase, gamma subunit	nitrate reductase 2, gamma subunit	1.7.99.4	1666661	1667341	681	226	Q8ZPD8	AAL20498.1	GO:0008940
STM1582	nhoA	N-hydroxyarylamine O-acetyltransferase	N-hydroxyarylamine O-acetyltransferase	putative arylamine N-acetyltransferase	2.3.1.118	1669221	1668376	846	281	Q00267	AAL20500.1	No Data
STM1584	ansP		l-asparagine permease	APC family, L-asparagine transport protein	No Data	1670757	1672142	1386	461	P40812	AAL20502.1	No Data
STM1597	puuG		glycine betaine aldehyde dehydrogenase	putative aldehyde dehydrogenase	1.2.1.8	1688258	1686834	1425	474	Q8ZPC9	AAL20515.1	No Data
STM1599	pdgL	Periplasmic dipeptidase for D-ala-D-ala digestion in peptidoglycan	D-alanyl-D-alanine dipeptidase	Periplasmic dipeptidase for D-ala-D-ala digestion in peptidoglycan	No Data	1690724	1689954	771	256	Q9X523	AAL20517.1	No Data
STM1617	rpe		ribulose-phosphate 3-epimerase	putative ribulose-phosphate 3-epimerase	5.1.3.-	1705919	1706551	633	210	Q8ZPB7	AAL20535.1	GO:0004750
STM1620	lctO	putative glycolate oxidase	lactate oxidase	putative oxidase	No Data	1709044	1707842	1203	400	Q8ZPB5	AAL20538.1	No Data
STM1627	fmrA	alcohol dehydrogenase class III 	alcohol dehydrogenase, class III	alcohol dehydrogenase class III	1.2.1.1	1718791	1717673	1119	372	Q8ZPA8	AAL20545.1	No Data
STM1647	ldhA		D-lactate dehydrogenase	fermentative D-lactate dehydrogenase, NAD-dependent	1.1.1.28	1740029	1741018	990	329	Q8ZP91	AAL20565.1	GO:0006113
STM1651	nifJ		pyruvate oxidoreductase	putative pyruvate-flavodoxin oxidoreductase	1.2.7.1	1742125	1745649	3525	1174	Q8ZP89	AAL20569.1	No Data
STM1679	oppA		oligopeptide ABC transporter, periplasmic oligopeptide-binding protein	periplasmic murein tripeptide transport protein, also negative	No Data	1773574	1771997	1578	525	Q8ZP68	AAL20596.1	GO:0006857
STM1680	mpaA		putative carboxypeptidase	putative carboxypeptidase	No Data	1773800	1774528	729	242	Q8ZP67	AAL20597.1	No Data
STM1681	ycjG		mandelate racemase/muconate lactonizing enzyme family protein	putative chloromuconate cycloisomerase (muconate cycloisomerase)	5.5.-.-	1775468	1774503	966	321	Q8ZP66	AAL20598.1	No Data
STM1686	pspE		phage shock protein E	phage shock protein	No Data	1780823	1780473	351	116	Q8ZP62	AAL20603.1	GO:0009271
STM1695	sapD		sapD	ABC superfamily (atp-binding), peptide transport protein	No Data	1787166	1788158	993	330	P36636	AAL20612.1	No Data
STM1700	fabI		enoyl-[acyl-carrier-protein] reductase (NADH) (2nd module)	enoyl-[acyl-carrier-protein] reductase (NADH)	1.3.1.9	1792136	1792924	789	262	P16657	AAL20618.1	No Data
STM1707	pyrF		orotidine 5`-phosphate decarboxylase	orotidine-5-phosphate decarboxylase	4.1.1.23	1801324	1800587	738	245	P07691	AAL20625.1	No Data
STM1710	no		phosphatidylglycerophosphatase B, putative	phosphatidylglycerophosphate phosphatase B	3.1.3.27	1803913	1803149	765	254	Q7CQG5	AAL20628.1	GO:0008962
STM1711	ribA		GTP cyclohydrolase II	GTP cyclohydrolase II	3.5.4.25	1804109	1804699	591	196	P66030	AAL20629.1	GO:0003935
STM1712	acnA		aconitate hydratase 1	aconitate hydratase 1	4.2.1.3	1807430	1804755	2676	891	Q8ZP52	AAL20630.1	GO:0003994
STM1718	btuR		cob(I)alamin adenosyltransferase	cob(I)alamin and cobinamide adenolsyltransferase	2.5.1.17	1815127	1815717	591	196	P31570	AAL20636.1	GO:0008817
STM1723	trpE		anthranilate synthase component I	anthranilate synthase, component I	4.1.3.27	1818550	1820112	1563	520	P00898	AAL20641.1	GO:0000162
STM1724	trpD		glutamine amido/phosphoribosyl anthranilate transferase	anthranilate synthase, component II, bifunctional: glutamine amidotransferase	2.4.2.18	1820112	1821707	1596	531	P00905	AAL20642.1	No Data
STM1725	trpC		tryptophan biosynthesis protein trpcf [includes: indole-3-glycerol phosphate synthase	bifunctional: N-(5-phosphoribosyl)anthranilate isomerase indole-3-glycerolphosphate synthetase	5.3.1.24	1821711	1823069	1359	452	P00910	AAL20643.1	No Data
STM1726	trpA		tryptophan synthase, beta subunit	tryptophan synthase, beta protein	4.2.1.20	1823079	1824272	1194	397	P0A2K1	AAL20644.1	GO:0000162
STM1727	trpA		tryptophan synthase, alpha subunit	tryptophan synthase, alpha protein	4.2.1.20	1824272	1825078	807	268	P00929	AAL20645.1	GO:0000162
STM1731	no	Mn_catalase	unknown protein encoded by prophage CP-933X	putative catalase	No Data	1826933	1827811	879	292	Q9KWV1	AAL20649.1	No Data
STM1737	tonB		tonb protein. {salmonella	energy transducer uptake of iron, cyanocobalimin; sensitivity	No Data	1832039	1831260	780	259	P25945	AAL20655.1	No Data
STM1739	cls		cardiolipin synthase	cardiolipin synthase	2.7.8.-	1832868	1834328	1461	486	P63798	AAL20657.1	GO:0008654
STM1742	aA1-334		Opp F	ABC superfamily (atp-binding), oligopeptide transport protein	No Data	1836627	1835623	1005	334	P08007	AAL20660.1	No Data
STM1743	dppD		oligopeptide transport atp-binding protein oppd. {salmonella	ABC superfamily (atp-binding), oligopeptide transport protein	No Data	1837532	1836624	909	302	P04285	AAL20661.1	No Data
STM1744	oppC		oligopeptide transport system permease protein oppc. {salmonella	ABC superfamily (membrane), oligopeptide transport protein	No Data	1838551	1837643	909	302	P08006	AAL20662.1	No Data
STM1745	oppB		oligopeptide transport system permease protein oppb. {salmonella	ABC superfamily (membrane), oligopeptide transport protein	No Data	1839483	1838566	918	305	P08005	AAL20663.1	No Data
STM1746.S	oppA		oligopeptide transport protein									
STM1749	adhE		alcohol dehydrogenase/acetaldehyde dehydrogenase	iron-dependent alcohol dehydrogenase of the multifunctional alcohol	1.1.1.-	1843128	1845806	2679	892	Q8ZP45	AAL20667.1	GO:0004025
STM1750	tdk		thymidine kinase	thymidine kinase	2.7.1.21	1846671	1846003	669	222	Q7CQF3	AAL20668.1	GO:0004797
STM1752	galU		UTP-glucose-1-phosphate uridylyltransferase	glucose-1-phosphate uridylyltransferase	2.7.7.9	1848736	1847828	909	302	Q7CQF2	AAL20670.1	GO:0003983
STM1756	purU		formyltetrahydrofolate deformylase	formyltetrahydrofolate hydrolase	3.5.1.10	1851502	1852410	909	302	Q8ZP42	AAL20674.1	GO:0008864
STM1761	narI		respiratory nitrate reductase, gamma subunit	nitrate reductase 1, cytochrome b(NR), gamma subunit	1.7.99.4	1856174	1855497	678	225	Q8ZP40	AAL20676.1	GO:0008940
STM1762	no		nitrate reductase-related protein	nitrate reductase 1, delta subunit, chaperone required	1.7.99.4	1856884	1856174	711	236	Q8ZP39	AAL20677.1	No Data
STM1763	narH		respiratory nitrate reductase, beta subunit	nitrate reductase 1, FeS (beta) subunit	1.7.99.4	1858416	1856881	1536	511	Q8ZP38	AAL20678.1	No Data
STM1764	no		nitrate reductase, alpha subunit	nitrate reductase 1, alpha subunit	1.7.99.4	1862156	1858413	3744	1247	Q8ZP37	AAL20679.1	GO:0008940
